|id|acousticness|danceability|duration_ms|energy|instrumentalness|key|liveness|loudness|mode|speechiness|tempo|valence
SET ME FREE|4OtVQ2ZxS7yigIjGz5yKg1|0.0966|0.756|181680|0.831|0.0|5|0.0499|-2.536|0|0.141|113.025|0.703
MOONLIGHT SUNRISE|5IN9W6eUfk3014My9awagX|0.401|0.746|180320|0.78|4.08e-06|1|0.0895|-3.279|1|0.0563|125.089|0.607
GOT THE THRILLS|1RVsbqAP1WFFXPiBXQYIah|0.21|0.712|173760|0.924|0.0|4|0.202|-1.549|0|0.121|122.037|0.73
Donde esta tu Tesoro|0HMo5VAuz4PB138z7kptGS|0.741|0.647|246827|0.698|6.56e-06|0|0.591|-8.438|1|0.168|172.06|0.866
Soy Mamá|04jL6Yn014XTsqhpMWq1JX|0.431|0.535|224627|0.763|0.0|4|0.105|-6.459|1|0.127|154.854|0.732
Debajo del Sol|3rI15Qg8nPIn2dzoaLEeVy|0.623|0.647|242693|0.729|0.0|9|0.0954|-8.489|0|0.0476|90.007|0.789
A Qué Sabe El Olvido|0fLdf9i8RYcfj99B8Pv9bR|0.16|0.419|193333|0.476|0.0|5|0.284|-6.826|1|0.0308|140.494|0.636
Caballero|3bqtqBZSaBelAKs3y8lHic|0.105|0.323|229067|0.406|0.0|11|0.0705|-7.001|1|0.0419|69.053|0.51
Decepciones|6R1954JJ9g64Bp8R5jjLxf|0.355|0.415|224093|0.365|0.0|0|0.071|-6.359|1|0.041|147.263|0.457
I Love You|4zsN5MrNCnANOwyfXlIRcC|0.185|0.734|181496|0.817|4.08e-06|10|0.165|-4.479|1|0.201|168.076|0.768
Se Va|6yTPAzXmuvE5E4J7zfUKIu|0.0303|0.766|199320|0.849|0.0|0|0.215|-1.987|1|0.0352|128.981|0.863
Tímida|3jztoVZMBEaTX0bJDJREUB|0.116|0.719|221933|0.893|1.49e-06|6|0.0838|-5.214|0|0.0697|176.001|0.903
Llora me llama|7uTvsM2ziinj6SpUlvmnYx|0.142|0.776|205053|0.695|0.0|7|0.107|-6.76|1|0.0873|96.055|0.768
Dicen que no te quiero|1onYBpY1FgvzFhZHHjrJIq|0.0478|0.749|133773|0.504|0.0|11|0.235|-7.01|0|0.0469|92.017|0.894
Infidelidad|3GhTSrJEdOVIaHn2uwJCuC|0.0411|0.6|184960|0.464|0.0|7|0.094|-7.074|1|0.164|183.644|0.9
Хулиганка|1uf0tJXdBxPNkxwtfjHyrE|0.463|0.708|139919|0.425|0.000192|9|0.058|-9.671|0|0.114|173.499|0.814
Скрудж Макдак|14WiJSYN8qFcWPBiFqNlKk|0.404|0.73|204080|0.62|0.639|1|0.154|-8.624|1|0.0894|130.138|0.312
