,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Aguije,5jMW9bjIpyziEv5mu5Next,0.208,0.467,191332,0.871,0.0,0,0.456,-5.292,1,0.218,150.013,0.605
La Distancia,2MdaSGTSLkY2ZEVYTEFjAl,0.0876,0.685,228548,0.687,5.89e-06,0,0.078,-4.58,1,0.037,159.993,0.949
La esquina de Rowland,6MEtlpTuzFJQfa8DvZ6N4V,0.153,0.694,225830,0.78,0.0,0,0.147,-4.573,1,0.0329,129.919,0.635
Pa Que Sepa,4ssX6WT1BA6deuNEIqe8C3,0.127,0.773,195907,0.924,0.0,7,0.352,-4.249,1,0.149,105.0,0.925
Scherzo,1KUFkemmTNsq4qvnbofSeW,0.984,0.504,200264,0.158,0.466,4,0.139,-16.871,1,0.0399,131.614,0.683
The Queen Is Here,2VhJYfE6xg7KlhbAyuOobQ,0.358,0.707,199987,0.746,3.95e-05,10,0.205,-4.157,0,0.19,190.013,0.813
Alma Traviesa,7LjOLbjgcXcXKXmUAB6H0O,0.0312,0.649,203636,0.825,0.0149,8,0.319,-7.307,0,0.0268,132.017,0.946
Fuga al Corazón,4JVsXPFAiWjSTH2SIiZxSt,0.0319,0.558,312059,0.733,0.0133,7,0.0987,-10.059,1,0.0308,94.991,0.486
Norte,0yXMB0GUF1NdBnsEcmUBbR,0.0479,0.571,217060,0.747,0.000116,9,0.127,-5.904,0,0.0292,143.951,0.78
Silent Night,4vVzl9Ric2Od5u96wGgpru,0.814,0.342,238000,0.269,0.0,5,0.122,-10.003,1,0.0298,134.312,0.118
Then She Touched Me,1Go38gYkR3mwl2HWGFOlku,0.0729,0.673,297240,0.883,8.88e-05,9,0.105,-3.56,0,0.0716,98.267,0.602
One More River,52l7F4WgrTZJ6R2s8digQH,0.123,0.745,197823,0.675,0.0,4,0.0962,-7.455,0,0.042,97.994,0.522
Pasa La Hookah - Remix,3SZ4Wm3u29AgZCiBrEfuvB,0.00533,0.98,196299,0.91,0.00294,7,0.334,-1.067,1,0.142,119.991,0.711
Running Away,1CNAp96nVFtzG0L48rDGnZ,0.0792,0.513,248232,0.737,7.82e-05,0,0.108,-5.023,0,0.0393,138.032,0.115
(incontrolable),5fpiMcL81I9166vrKkKTBJ,0.0551,0.752,156236,0.708,0.0051,4,0.0961,-4.149,0,0.0399,121.026,0.78
Be With You - 2022 Version,0DpRKdn06BWfJlFd7eAyZt,0.00884,0.824,220250,0.624,0.0,6,0.0724,-7.565,0,0.0805,130.982,0.825
Breathless,3iUP0GxdoLmQAFWCIg7qDp,0.474,0.82,286165,0.511,0.0,9,0.0969,-9.136,1,0.0498,104.997,0.493
hallelujah,2BlvZpkE60kmLmwJxheXtc,0.432,0.502,172473,0.798,0.0,5,0.192,-4.519,1,0.0908,159.82,0.618
Azoko (Np Heaven Remix),6NWTWyEWNeDb1UcazrCEBI,0.0248,0.798,177615,0.8,0.363,3,0.281,-6.249,1,0.0439,106.052,0.633
Cartas Sobre La Mesa,5UYpQXr9xtRdzYePdxdfeA,0.48,0.702,191082,0.891,1.94e-05,7,0.083,-3.656,0,0.0457,94.593,0.96
Alquimista,413wa1xsxtcjsxydTytQss,0.00282,0.407,189675,0.887,0.0,7,0.0914,-3.565,1,0.0639,158.032,0.592
16•95,5G54q5KCiXAfDh0OrGm7Fv,0.144,0.85,211987,0.666,0.0,11,0.111,-5.118,0,0.0756,129.99,0.565
Magia,1zxZ9yi8ddRPghXntx4U5Q,0.0936,0.757,191339,0.66,0.0,8,0.0845,-7.954,0,0.0418,133.019,0.824
Adicto A Tu Amor,7H4mYbLFCNqn37q6Yeylly,0.0165,0.738,244587,0.855,6.12e-06,4,0.245,-4.124,0,0.0375,101.989,0.711
Daniel,4SerjQeo3bR6As5BsR8liB,0.214,0.678,277240,0.691,0.0228,5,0.185,-7.604,0,0.0256,119.991,0.549
"Hello, Dolly! (from ""Hello, Dolly!"") - Live From Hamer Hall, Arts Centre Melbourne, 2017",0wNfEIQ3isUXPP5bH8XLho,0.648,0.633,271560,0.711,0.883,0,0.69,-7.198,0,0.0876,103.243,0.741
MÍRENME AHORA,1QigNNcv8c5X2iL294bZev,0.0578,0.745,187898,0.695,3.72e-06,2,0.519,-5.888,0,0.125,130.027,0.618
Hace Tanto Tiempo (En Vivo),4c7L2EtXJH0Bb1i5YUI9HE,0.256,0.346,308361,0.508,0.00152,11,0.812,-11.464,1,0.0392,156.244,0.137
Flan,1VXbNfw97Ed6xBtWG3uygo,0.112,0.515,236878,0.701,0.0,5,0.111,-6.43,1,0.0633,89.93,0.312
spaceship,0Ur8l6XzIAwrCW3lGfbOg9,0.668,0.491,247880,0.416,2.56e-05,11,0.315,-7.845,1,0.0316,120.115,0.0699
Hacia Dentro,4UXCzqNeOBhEU0v7kiyyAM,0.893,0.353,231600,0.358,0.00156,1,0.109,-10.144,1,0.0344,207.517,0.19
Brand New Eyes,1ooCLgdLFqmdB81IFuASYk,0.0553,0.62,186920,0.585,6.24e-06,6,0.319,-7.046,0,0.0419,130.921,0.358
Solos,4BOtg1VzQleuC99Ij3Lolf,0.02,0.667,217636,0.928,0.00533,2,0.135,-5.361,1,0.0321,123.964,0.638
Roast Yourself Challenge,7E80Z75RobbPY4upShsNmA,0.309,0.66,136543,0.725,0.0,11,0.332,-4.988,0,0.0337,97.115,0.756
Me duele el alma,2ZSe1xDh3akNccTvXsXbX4,0.557,0.706,298152,0.828,0.0,11,0.0831,-6.321,0,0.0603,127.966,0.798
Otro Año,7nJ0iRk0CBw3JX9WHAy37L,0.385,0.662,191317,0.727,0.0,7,0.123,-8.892,1,0.0571,92.004,0.685
Come Back Home,1I4dwH7C0jBAEtz5DjlJgQ,0.241,0.552,176859,0.531,1.21e-05,7,0.122,-7.732,1,0.0421,144.946,0.438
Don't Give Up On Us,53lzKjlVaL7iyFwp1bphde,0.0452,0.798,201795,0.778,0.000116,1,0.112,-6.428,1,0.0881,111.955,0.34
Agustito,1SPWPv9f2d78z4mkHJ5Gyp,0.345,0.738,287107,0.769,0.0,9,0.159,-4.811,0,0.218,105.019,0.671
Mi Frase Favorita,5sODfAylix5b8RwkbM2uoX,0.378,0.749,136367,0.676,0.0,6,0.211,-7.828,0,0.0338,125.981,0.741
Affirmation,6lWY4ji9T0tpFU2xbnRC1p,0.0102,0.481,295800,0.782,1.77e-06,8,0.127,-8.145,1,0.0717,169.985,0.648
Sin Despertar,71GP2MlNzXZIF56ONO8kjJ,0.116,0.617,196287,0.878,0.0,11,0.142,-5.499,1,0.0361,97.003,0.42
Aleluya,1gc9fojUdep2sRXyFbXsP0,0.163,0.501,214533,0.922,1.36e-05,2,0.163,-5.796,1,0.0318,105.804,0.813
Pasito Tun Tun,4r4F4NHtPpOMwTr8Jri7WT,0.474,0.73,224911,0.658,0.364,8,0.133,-8.677,1,0.226,79.37,0.957
Un air de famille,5jKLlyq8SA1JgNEdDFyrgV,0.308,0.617,200400,0.658,0.0,7,0.181,-5.769,1,0.0327,150.077,0.731
El Jardinero,3XKHqtH9nfgoV8WFkzbacU,0.407,0.397,266762,0.686,0.0,2,0.136,-14.055,1,0.222,131.606,0.738
Amor a Medio Tiempo,3RB6YhtseJiXEBY7iEaZb9,0.161,0.769,289667,0.627,3.4e-05,9,0.0439,-9.991,0,0.0423,164.629,0.936
Brown Skin,3qren8EEQL1tbjEBPrlDCk,0.572,0.455,239073,0.387,0.0,1,0.287,-10.991,1,0.0533,90.902,0.145
No Te Sientes Igual,0TzPcGalV2nb2LqRNDk543,0.191,0.576,180004,0.699,1.19e-05,1,0.168,-8.627,1,0.0586,89.973,0.367
Ya No Te Creo (feat. Edwin Luna y la Trakalosa de Monterrey),7s3dRSCQmlcxmGWDNIDgaX,0.0564,0.668,248467,0.792,0.0,2,0.0646,-4.777,1,0.0307,130.01,0.865
Sueño de Orquídea,4YamDa7TmxY62dgLFMD6Zp,0.127,0.553,266240,0.618,0.000518,8,0.0431,-9.962,1,0.0439,78.061,0.596
Asesina,10gAKvTgdYNag7CQOHyfJy,0.113,0.845,188533,0.915,5.58e-05,2,0.235,-4.56,1,0.0644,113.372,0.804
Shout Out to My Ex,3WTIiBfOsXIzfeLH17l6WS,0.0242,0.773,246252,0.747,8.99e-06,5,0.109,-4.061,1,0.0885,126.014,0.801
Mi Río Cali,7Hb3FOeSOw47R3r7Um2ZnI,0.255,0.701,231733,0.872,0.000269,0,0.169,-6.701,1,0.0498,110.316,0.753
Eres El Final,5pCkHKOeu48UsDgsyCsSNU,0.275,0.796,191935,0.879,0.000838,0,0.34,-4.774,1,0.0379,134.964,0.951
Santa's Coming for Us,3ZIEG7syiY1lRmxwGm0xRH,0.0202,0.668,206539,0.857,0.0,1,0.047,-4.485,1,0.0994,93.01,0.718
Call Me,5zcfDiFLp0dVGFxzzoiSly,0.136,0.437,182471,0.678,0.0571,0,0.111,-4.785,1,0.0466,170.0,0.212
Aventar,5bojZS709os24VqPDSWmQj,0.0349,0.467,243760,0.83,2.2e-05,8,0.0704,-6.848,0,0.0426,149.964,0.843
