,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
La Chata,3jzpdDnLaQcsuGCw4JwVYS,0.251,0.569,206840,0.525,0.0,2,0.346,-5.809,1,0.0257,153.988,0.303
Decir adiós,7c6Zu7NeLHWy4r3ztZuT0G,0.68,0.566,239000,0.36,0.0,7,0.0972,-10.258,1,0.0315,134.124,0.431
Te Quiero,0eJGouVmEGxPktWPSTfpuI,0.463,0.454,264880,0.67,2.27e-06,0,0.0735,-6.704,1,0.0815,190.113,0.378
Decir Adiós,1snT64YtuTvZYVzuornRjw,0.463,0.596,232227,0.454,1.1e-06,7,0.114,-7.032,1,0.0421,135.671,0.409
Fin del Tiempo,5xj5qixWeH2I44SFx0Icdv,0.692,0.561,186500,0.475,0.0,9,0.241,-5.918,1,0.0289,141.451,0.384
"Un Vino, Una Cerveza",5Q2J37xbIR60z6ifswoGKe,0.066,0.76,275827,0.962,2.18e-05,11,0.0343,-6.288,0,0.0375,137.017,0.972
Cuéntame,76KLnsqCiFEFTEQp2Vaf8R,0.34,0.569,238693,0.951,0.000491,4,0.103,-7.522,0,0.0733,167.495,0.781
Los Globos del Cielo,0gnsuw6eGZEwph1rKnxzOu,0.0498,0.621,239907,0.917,0.0,9,0.322,-7.866,1,0.0552,174.348,0.951
Me Estoy Enamorando,4COvULULVKLsMKMRKIiXUa,0.0958,0.745,286027,0.864,0.0,0,0.308,-8.286,1,0.0316,132.027,0.959
Degeneración Actual,58t9Q8VqXGhaqtilMkIkRx,0.277,0.763,316027,0.891,1.26e-06,0,0.0913,-5.351,1,0.0398,141.989,0.947
Fiesta Pagana,02dphTJYUQ9pmdNC52iyOz,0.0124,0.434,296751,0.897,4.22e-05,11,0.0772,-4.845,0,0.0695,135.54,0.376
Molinos De Viento,19vhfSUgVJO2enJ6XidUGO,0.000259,0.491,251681,0.877,0.0,7,0.0876,-3.758,1,0.0425,138.31,0.819
Haste Que El Cuerpo Aguante,5Q2uU5NGcS0mKwmgF28kRZ,0.0407,0.564,272533,0.812,0.0,11,0.12,-5.432,0,0.0767,95.969,0.616
La Costa Del Silencio,4mTsRdFE28MYlrZo8N4Es0,0.0201,0.498,280869,0.891,3.17e-06,5,0.0942,-7.021,1,0.0415,133.918,0.669
La danza del fuego,0dQPkfweyWDzZ20Auq3F14,0.033,0.477,313098,0.836,3.43e-05,0,0.248,-5.662,1,0.0506,131.812,0.213
