,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Volveré junto a ti,0hBM7L3PO2nmpoUxhwJ6Km,0.437,0.557,241147,0.667,0.0,5,0.145,-4.689,0,0.0291,94.355,0.149
Laura no està,10tzk7ZRjwnLKd3gjKLtTA,0.44,0.651,225240,0.717,0.0,9,0.13,-5.201,0,0.0296,125.976,0.501
Summerlove - Radio Edit,1hakIwXUPCiP41Rbpl1JDh,0.139,0.386,204827,0.848,0.014,10,0.088,-6.241,1,0.0481,127.992,0.805
Sin aliento,3jAgeQ5AmuV7UWhdvP651Y,0.0159,0.51,297960,0.875,0.00167,2,0.544,-5.827,1,0.0351,177.018,0.868
Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,0.0102,0.543,263306,0.903,0.00585,11,0.0862,-6.658,0,0.039,162.241,0.962
Medallo,6lX6l7OuA3qrnIRfdsr0dw,0.568,0.787,233453,0.7,0.00051,4,0.663,-4.598,0,0.0768,90.02,0.791
Culpable O No - Miénteme Como Siempre,7BwxbmYFy0l3ROHDjV2c14,0.0367,0.54,237240,0.367,0.0,0,0.0433,-14.238,1,0.0277,70.276,0.252
Secretos,1MH7CE7NBhn3kdmFEfeBhn,0.348,0.633,234893,0.437,0.0,3,0.12,-10.175,1,0.0261,120.075,0.322
Mar y Luna,004uWjBm1cOgxJAwQb6X8P,0.2,0.774,260467,0.634,0.00976,0,0.22,-11.401,0,0.0487,119.953,0.933
Solo Se Vive una Vez,0ATzislS5SvAp69hjHczej,0.046,0.743,211867,0.971,9.74e-06,6,0.0431,-4.83,1,0.0533,101.998,0.978
En ausencia de ti,0I2feE3ac2r9QFhi6y4MDx,0.238,0.752,268800,0.481,0.0,6,0.244,-5.977,0,0.0251,110.063,0.345
Pop,0Jc8qF1mUPo1A96HE9QxZz,0.0341,0.706,238427,0.861,0.0,11,0.127,-6.684,1,0.154,119.946,0.923
All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.164,0.336,241107,0.627,0.0,7,0.0708,-7.463,1,0.0384,150.273,0.35
Please Don't Go,0bwNb4KRkhzahJJMFsGoPR,0.0613,0.707,200000,0.842,6.72e-06,3,0.0297,-11.831,1,0.0405,120.012,0.492
Toda la Vida (Remastered),0urIVwoBiR0UmvuZZL6g8m,0.101,0.764,229773,0.608,2.68e-06,0,0.33,-8.576,1,0.0376,108.683,0.742
Estoy Aquí,117PkfBYudl1lSoFFAvOM4,0.022,0.731,233827,0.871,0.0,2,0.0717,-5.079,1,0.0403,116.944,0.71
Hoy Que Darle Duro,13NHNsGanPcdyHngp4AVS8,0.187,0.885,80849,0.767,9.32e-06,2,0.304,-4.981,1,0.0609,107.033,0.852
Tiempo,1CWHHOjkWG4WcWGR0gUH7N,0.0501,0.757,283133,0.892,0.0,7,0.17,-6.767,1,0.0797,107.912,0.851
Primavera anticipada (It Is My Song) [duet with James Blunt] - 2013 Remaster,1RVl8vuJcQY3BBLFOCPkAS,0.0362,0.584,208386,0.738,0.0,4,0.267,-5.004,1,0.0251,89.959,0.268
Pisando fuerte,1j574CggvutWXzp9CnVUqR,0.445,0.542,269813,0.627,0.0,7,0.0929,-7.46,1,0.033,136.839,0.117
Mi Cama Huele a Ti (feat. Zion & Lennox),1nAk42YH4kmPxaoFcLgiSe,0.0775,0.738,225573,0.85,0.0,7,0.162,-5.818,0,0.0403,95.0,0.678
I Found Luv - Doug Laurent Mix,1uZN5bToTvEPupMzoRwOep,0.015,0.626,345240,0.837,0.00014,7,0.379,-11.582,1,0.0347,147.827,0.771
Melô Do Tchaco II (Dança Gostosa),261jZKTnn0lsgKHHT7HWNp,0.27,0.774,193347,0.863,0.0,9,0.687,-8.637,1,0.0867,106.711,0.839
Casablanca,2ZLmdLMNKYkCVMDczsJaUi,0.0242,0.711,262000,0.773,0.00357,10,0.0483,-8.189,0,0.0389,94.73,0.635
Inevitable,2gxSaoTORdXmNLUpsNFbQk,0.244,0.646,193453,0.478,7.33e-05,6,0.127,-7.516,1,0.0561,92.133,0.341
The Downeaster 'Alexa',39cFQHfY6tsdMRmSbFse3X,0.11,0.457,223267,0.808,0.0,9,0.127,-5.914,0,0.0349,89.893,0.681
Metalingus,3UULkHdmLDqBDPmBYltoRE,9.33e-06,0.496,259960,0.981,0.0,8,0.0958,-3.268,1,0.108,109.905,0.163
Sentimiento Fatal,3nBRVxwGsrklnueJPDhLWP,0.0801,0.505,261747,0.956,0.00178,9,0.292,-5.704,1,0.0639,95.973,0.706
Por Amarte,3nTP1d8K9jHFHiozzXGVDF,0.183,0.637,244027,0.505,0.000285,9,0.114,-8.621,1,0.0295,127.933,0.222
Tendria Que Llorar por Ti,42rEBfEL4PhaMpzH8DGiUp,0.0173,0.519,281940,0.7,0.000163,7,0.0841,-7.245,0,0.0285,129.15,0.323
Living on My Own - Julian Raymond Album Mix,4FNT8FWdyUHykWXy7KSMa4,0.00733,0.682,217200,0.862,0.00792,7,0.371,-7.775,1,0.0463,123.71,0.519
Olvídame y Pega la Vuelta,4FdwRmlzP5KGM7OewGBYiu,0.454,0.485,185800,0.838,0.0,8,0.691,-5.759,1,0.181,76.693,0.571
Dreams (Will Come Alive),4Fqm5rqB0WMx0hPOwgRjFr,0.0113,0.702,264000,0.953,0.00193,7,0.266,-6.347,0,0.0473,134.027,0.507
Mi Corazón Nene,4FyBECgo7P7b9mqp0U6HCO,0.104,0.794,245290,0.627,0.000108,9,0.147,-13.73,0,0.044,120.054,0.868
Traición a la Mejicana,4M7pLnko9ZAbjNnXTlXAVR,0.00258,0.719,253173,0.577,7.99e-05,9,0.0629,-10.236,1,0.0843,91.203,0.656
Perfecta - Versión con Julieta Venegas,4Ol6lxivp7pR7voovl8vKI,0.159,0.636,225053,0.743,0.0,0,0.292,-5.338,1,0.0491,169.892,0.815
Un día sin tí,4QKQ2c9J93Rn4JmjpbJXuA,0.506,0.691,298133,0.361,0.0,10,0.123,-9.739,1,0.0247,107.001,0.381
