,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Estoy a la Puerta y Llamo,4bjsp9L4sWREYUkZU8nc6e,0.935,0.493,198240,0.112,0.000558,10,0.163,-14.419,0,0.0345,76.48,0.243
Nada Te Turbe,7GPBx7jwkMSnlUS6Qqudlp,0.859,0.523,216054,0.242,7.17e-05,0,0.105,-9.303,1,0.0269,103.928,0.319
Entraré,1koXbetRP1PgmDRqU4DFPb,0.944,0.426,262373,0.0559,0.0,7,0.0633,-18.357,1,0.03,71.843,0.116
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,0.446
Before You Go,2gMXnyrvIjhVBUZwvLZDMP,0.604,0.459,215107,0.575,0.0,3,0.0885,-4.858,1,0.0573,111.881,0.183
Forget Me,5uSFGgIfHMT3osrAd9n9ym,0.296,0.669,203472,0.742,0.0,1,0.355,-3.518,0,0.0441,101.982,0.716
Easy On Me,46IZ0fSY2mpAiktS3KOqds,0.578,0.604,224695,0.366,0.0,5,0.133,-7.519,1,0.0282,141.981,0.13
Set Fire to the Rain,73CMRj62VK8nUS4ezD2wvi,0.00408,0.603,242974,0.67,1.68e-06,2,0.112,-3.882,0,0.0249,107.993,0.446
Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,0.138,0.73,228093,0.769,0.0,8,0.0473,-5.114,1,0.0298,104.948,0.507
Ella Y Yo - Featuring Don Omar,6G4U9avyBNEfP0fAIduev3,0.534,0.732,267787,0.708,0.0,9,0.237,-7.905,0,0.262,175.924,0.717
Obsesion,65H6t1WQBim6q93yM8fEwn,0.416,0.804,254720,0.56,0.0,1,0.0608,-6.912,0,0.0397,133.682,0.768
Dile al Amor,2Bhmj4XK33InfhqKPxcJ1v,0.0764,0.825,229360,0.605,0.0,11,0.314,-9.71,1,0.0376,124.005,0.944
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,0.119,0.64,220781,0.533,0.0,0,0.0864,-6.596,1,0.0706,99.968,0.515
Higher Love,1kKYjjfNYxE0YYgLa7vgVY,0.0151,0.693,228267,0.678,5.71e-06,8,0.101,-7.159,1,0.0324,103.952,0.404
Woke Up in Love,07QIetdCyAEox3Q5qqJT43,0.234,0.649,216880,0.586,0.0,2,0.0936,-5.998,1,0.0385,106.031,0.178
Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.232,0.345,153000,0.612,0.0,7,0.194,-6.543,0,0.0608,179.773,0.232
Breakfast,6GUiIbJ834FcHewby3PwV0,0.0579,0.64,148471,0.553,0.0,2,0.0914,-6.42,0,0.0411,81.992,0.486
If Only,1mRBJdpIgc3jZH8C3cN2WV,0.271,0.477,229813,0.6,0.0,7,0.112,-5.652,1,0.0324,152.062,0.29
"Muchachos, Ahora Nos Volvimos a Ilusionar",79d6fVzRM6DRYxR302AJFY,0.283,0.699,141237,0.871,0.0,7,0.0867,-4.776,0,0.0621,109.975,0.927
Te Quiero Comer La Boca,6Y5k0NupErwLzOQXDxfVFa,0.105,0.774,204933,0.665,4.89e-05,0,0.148,-6.42,1,0.0326,106.842,0.968
Todos Tenemos Un Amor,6SgkilvKX94WfXRbhr3RCu,0.251,0.704,227800,0.814,0.0,1,0.35,-4.752,0,0.0475,138.779,0.974
Rude (Acoustic),5N0fCfFgNKqoxIUPWvAMcV,0.363,0.738,223973,0.846,0.0,1,0.17,-4.296,1,0.0729,144.007,0.891
No Way No,5xHooj89TQoQHj3dALvSh1,0.104,0.743,231667,0.733,1.05e-05,7,0.149,-5.183,0,0.0513,153.978,0.807
Rude - Zedd Remix,6rmtT7Y8cH7NpvovoPiV6k,0.0324,0.598,273231,0.836,2.44e-06,1,0.0751,-2.388,1,0.0457,130.009,0.343
Cien gaviotas,020Gj87SqDRvzGHELzcCEc,0.133,0.593,169773,0.943,4.38e-05,9,0.0478,-4.503,1,0.0424,136.027,0.846
Jardín de rosas,3MvbFAlNARGUpMPEkn88Ho,0.11,0.551,141280,0.941,0.0,7,0.266,-4.31,1,0.0461,83.53,0.915
Una calle de París,1nLOdVT581H7SA0ttCZRF9,0.074,0.683,140253,0.752,2.56e-05,4,0.222,-6.837,1,0.0337,140.012,0.865
