,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Pedindo Esmolas,2ETyUK0F39pIYkkoQu6lRu,0.812,0.779,220721,0.287,4.66e-05,2,0.17,-14.267,0,0.0342,117.982,0.697
Volví,2vmfvSoZBFAt9hhRoEByLi,0.422,0.725,230125,0.86,0.000284,1,0.0674,-3.726,1,0.182,175.896,0.791
Promise (feat. Usher),0jr6tT2vc4cIFPHb6wufG3,0.403,0.764,252253,0.739,0.0,1,0.0821,-6.422,1,0.0574,132.995,0.77
De Ellos Aprendí,1DnQiHRa2XnfwIf8qVl5C1,0.145,0.72,266076,0.572,0.0,7,0.439,-6.479,1,0.116,166.843,0.675
Me Voy Enamorando,39Gb80bu5xF0rQtAxTxUS1,0.0538,0.685,235720,0.912,0.0,10,0.392,-3.411,1,0.0687,99.957,0.511
Looking For Sade,48IDve2DfIE5oswLgxWfnz,0.2,0.732,283267,0.588,2.12e-06,8,0.105,-8.051,0,0.0288,95.001,0.532
Into the Desert,4tYW2956Q93JTDqnLx2oDT,0.95,0.266,240777,0.052,0.00068,10,0.0653,-18.332,0,0.0369,80.864,0.038
Gracias a Dios,6fIEBZB2wtqiyk6Se7qPsK,0.0284,0.731,239412,0.854,0.0113,4,0.316,-3.962,1,0.0434,122.02,0.961
Higher Love,18QfMXWWtbAF03nEPnvu8c,0.0149,0.686,228194,0.631,5.57e-06,8,0.103,-8.744,1,0.0349,103.951,0.384
Entre Tirso y Benavente,1xnaDZi0ZSOSDozKFEiobD,0.533,0.365,257172,0.202,0.0069,6,0.179,-13.031,1,0.0401,96.274,0.128
We Go Down Together (with Khalid),2Y67qsABsPKMrvCxPCzL6r,0.652,0.494,184963,0.348,1.07e-05,9,0.0859,-9.791,0,0.03,104.923,0.134
Libertad,4dpRlEWhhmDnUEXuMAxC4k,0.0648,0.605,218079,0.703,0.0,4,0.117,-6.707,1,0.0303,132.081,0.686
Raglan Road,5eqeMVPaAdTguY3X80o7Dn,0.661,0.344,247545,0.218,4.12e-06,2,0.0934,-13.193,1,0.0318,81.087,0.19
Hold Me While You Wait,5qOwKwblw4qR3kfKMWSlnn,0.44,0.685,205720,0.528,0.0,11,0.1,-5.515,1,0.0318,107.038,0.168
Trascender,0Rx0gzyQyKT75fPfpbeEmO,0.525,0.678,219939,0.877,0.0,11,0.27,-5.471,1,0.301,159.983,0.642
Para No Verte Más,19CmuECYssqkPWANF4nLWM,0.0168,0.658,191560,0.815,0.0,0,0.341,-6.834,1,0.105,99.276,0.837
Someone Like You,1zwMYTA5nlNjZxYrvBB2pV,0.893,0.556,285240,0.319,0.0,9,0.0996,-8.251,1,0.0281,135.187,0.294
En algún lugar,3UIENhLRdFIOuRan92cAQu,0.176,0.527,235627,0.859,0.0866,7,0.157,-6.685,1,0.0687,74.214,0.443
Sofia,5vj59ONIVbyhcrI8ZSwoRo,0.109,0.688,210467,0.729,0.0,2,0.225,-5.939,1,0.0315,127.998,0.909
Lamento Boliviano,6Pur3hWy6Nzc27ilmsp5HA,0.176,0.714,222227,0.735,0.000622,4,0.115,-7.125,0,0.0306,123.57,0.68
En El Muelle De San Blas,0mvocLIWUnT10znvIXwHGr,0.113,0.64,352160,0.693,5.62e-06,2,0.0978,-5.735,1,0.0235,97.159,0.698
Devuélveme a mi chica,1Wrzhfa5bNlqvsnCztz190,0.0031,0.603,194867,0.843,0.0337,9,0.445,-7.597,0,0.0557,172.676,0.503
Los 90's,1giIqWR6nkAgRvq7pLEaf8,0.00527,0.388,200625,0.898,0.0,0,0.187,-4.077,1,0.0383,189.85,0.7
La Muralla Verde,1qvY1z3Wm3sAYeHfPTnrbI,0.0653,0.724,161800,0.856,1.85e-06,8,0.354,-6.119,0,0.0283,129.794,0.891
Razón,2dSz2px33HmyFwL5rDlh2e,0.0104,0.633,195581,0.734,0.0,6,0.0789,-5.158,1,0.0277,150.057,0.945
De Música Ligera - Remasterizado 2007,2lpIh6Gr6HYjg1CFBaucS5,0.000633,0.537,212747,0.748,0.557,2,0.272,-6.392,1,0.0282,124.24,0.78
Bye bye,2mBpqtoVKLzgccfvqUVFpO,0.00168,0.634,349507,0.84,0.0237,6,0.207,-5.933,1,0.0351,97.998,0.393
Mentía,37OFAZ00hyRo6o3tPE6IAU,0.00785,0.704,215240,0.72,0.00239,11,0.115,-6.16,1,0.0539,132.014,0.942
Lobo-hombre en París,3M1H1CWjrSq7nxABHc8EXv,0.0388,0.637,233267,0.95,0.000138,9,0.0529,-7.547,1,0.0736,146.29,0.622
Afuera,3pJfnBjO3kjudEchcPEDxS,0.209,0.487,288600,0.553,2.81e-05,6,0.0992,-11.197,0,0.0425,126.043,0.699
Chica Feliz,4WDv5TSb7eNM1U85jI3tL4,0.00591,0.675,213253,0.763,6.92e-06,5,0.292,-6.031,1,0.0279,130.03,0.788
Matador - Remasterizado 2008,4bMZ60QNM6OEehI6b8RtS4,0.0272,0.543,275893,0.962,0.0273,4,0.09,-5.337,0,0.106,193.664,0.639
Alta suciedad,4yeSrf6DC5PgrgVcguiOuR,0.0952,0.62,265893,0.943,0.0,9,0.115,-5.306,1,0.0838,106.762,0.726
Tu Misterioso Alguien,5BaWu0bYT7XPaIYyXJOZvJ,0.0329,0.665,244800,0.785,0.000119,5,0.173,-5.584,1,0.025,115.993,0.676
Mentira,5Em7MA991Gn3yhheaul0CX,0.179,0.643,288067,0.679,1.4e-05,7,0.7,-6.382,1,0.0287,132.199,0.491
Mas de Lo Que Soñe,5G0UJRcrjH7MaaaAgeQKpi,0.209,0.609,222917,0.505,0.0,7,0.103,-8.057,1,0.0397,80.086,0.37
Eres,6kdCN6gTWLcLxmLXoUcwuI,0.0107,0.583,267600,0.731,0.0136,9,0.238,-6.18,0,0.0271,149.987,0.446
Te Pillé,6qgw3bfIe1F8jLFa4zh2tz,0.223,0.728,202933,0.796,0.0,4,0.132,-4.494,1,0.0384,129.048,0.726
Hello,62PaSfnXSMyLshYJrlTuL3,0.33,0.578,295502,0.43,0.0,5,0.0854,-6.134,0,0.0305,78.991,0.288
Speechless (Full),0XPsOSYzDJZJArevQNm2AR,0.467,0.474,208801,0.489,0.0,6,0.119,-7.625,0,0.0342,124.844,0.23
Sonrisas,0kcym33EDOOjDbS39itMb5,0.382,0.655,152000,0.76,0.0,0,0.119,-4.988,1,0.244,179.972,0.548
Perfect,0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,0.168
ABRAKADABRA,1GnyyNKAqOSI20I5Xux9jX,0.274,0.42,214366,0.692,0.0,0,0.116,-7.742,1,0.0996,178.173,0.64
Gracias,1eVTBI3clwaHcsP53ITTNe,0.381,0.701,206658,0.795,0.0,0,0.0965,-6.168,1,0.041,169.999,0.906
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0.234,0.767,171375,0.481,0.0,0,0.269,-8.52,0,0.0803,150.076,0.761
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,0.369,0.689,229526,0.481,1.03e-06,10,0.0649,-7.503,1,0.0815,80.025,0.283
"Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012",2j5dy9SzXdQ71Y2jgtiFAJ,0.753,0.574,235880,0.879,3.54e-06,11,0.952,-2.336,1,0.0387,125.284,0.499
Hasta la Raíz,3lGMtkONrZdJ8kTCg6KIFf,0.201,0.585,221800,0.643,0.000306,3,0.144,-8.392,1,0.0395,152.98,0.592
La Partida,5X6MOH687jWQa0OfR2Upku,0.615,0.73,171429,0.9,0.00385,2,0.105,-3.041,1,0.169,196.068,0.732
Rude,6RtPijgfPKROxEzTHNRiDp,0.0422,0.773,224840,0.758,0.0,1,0.305,-4.993,1,0.0381,144.033,0.925
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,0.309,0.421,285120,0.407,0.000961,10,0.11,-7.445,1,0.0267,139.028,0.161
"My Heart Will Go On - Love Theme from ""Titanic""",7F1yVPuJ4xRdrDvf8OL0HF,0.801,0.157,310707,0.119,0.000998,1,0.126,-20.156,0,0.036,67.005,0.0391
Contigo Quiero Estar,7fmY56U85cEHDZpAtlbrVT,0.878,0.864,206973,0.177,1.58e-06,0,0.152,-13.559,1,0.0803,100.089,0.614
X SI VOLVEMOS,3Zyk5Vd9WNPNVWxvb0EZTk,0.341,0.793,203360,0.78,0.0,1,0.111,-4.247,0,0.249,178.046,0.576
